Serial_number:,,,,
2078238,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: kPa,,,,
Offset: 0.000000 kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
11/28/2017,12:00:00 AM,0,102.954,17.765
11/28/2017,12:10:00 AM,0,102.979,17.766
11/28/2017,12:20:00 AM,0,102.987,17.765
11/28/2017,12:30:00 AM,0,102.972,17.765
11/28/2017,12:40:00 AM,0,102.969,17.765
11/28/2017,12:50:00 AM,0,102.964,17.765
11/28/2017,1:00:00 AM,0,102.953,17.765
11/28/2017,1:10:00 AM,0,102.947,17.765
11/28/2017,1:20:00 AM,0,102.928,17.765
11/28/2017,1:30:00 AM,0,102.913,17.765
11/28/2017,1:40:00 AM,0,102.898,17.765
11/28/2017,1:50:00 AM,0,102.88,17.765
11/28/2017,2:00:00 AM,0,102.889,17.766
11/28/2017,2:10:00 AM,0,102.897,17.765
11/28/2017,2:20:00 AM,0,102.903,17.765
11/28/2017,2:30:00 AM,0,102.912,17.766
11/28/2017,2:40:00 AM,0,102.91,17.765
11/28/2017,2:50:00 AM,0,102.92,17.766
11/28/2017,3:00:00 AM,0,102.914,17.765
11/28/2017,3:10:00 AM,0,102.903,17.766
11/28/2017,3:20:00 AM,0,102.91,17.766
11/28/2017,3:30:00 AM,0,102.927,17.765
11/28/2017,3:40:00 AM,0,102.939,17.766
11/28/2017,3:50:00 AM,0,102.957,17.765
11/28/2017,4:00:00 AM,0,102.959,17.766
11/28/2017,4:10:00 AM,0,102.952,17.766
11/28/2017,4:20:00 AM,0,102.955,17.766
11/28/2017,4:30:00 AM,0,102.976,17.766
11/28/2017,4:40:00 AM,0,102.99,17.766
11/28/2017,4:50:00 AM,0,103.013,17.766
11/28/2017,5:00:00 AM,0,103.036,17.766
11/28/2017,5:10:00 AM,0,103.066,17.766
11/28/2017,5:20:00 AM,0,103.076,17.766
11/28/2017,5:30:00 AM,0,103.089,17.766
11/28/2017,5:40:00 AM,0,103.114,17.765
11/28/2017,5:50:00 AM,0,103.112,17.766
11/28/2017,6:00:00 AM,0,103.123,17.766
11/28/2017,6:10:00 AM,0,103.147,17.766
11/28/2017,6:20:00 AM,0,103.165,17.766
11/28/2017,6:30:00 AM,0,103.2,17.766
11/28/2017,6:40:00 AM,0,103.221,17.766
11/28/2017,6:50:00 AM,0,103.246,17.766
11/28/2017,7:00:00 AM,0,103.26,17.766
11/28/2017,7:10:00 AM,0,103.282,17.766
11/28/2017,7:20:00 AM,0,103.313,17.766
11/28/2017,7:30:00 AM,0,103.361,17.766
11/28/2017,7:40:00 AM,0,103.387,17.766
11/28/2017,7:50:00 AM,0,103.426,17.766
11/28/2017,8:00:00 AM,0,103.447,17.766
11/28/2017,8:10:00 AM,0,103.456,17.766
11/28/2017,8:20:00 AM,0,103.475,17.766
11/28/2017,8:30:00 AM,0,103.501,17.766
11/28/2017,8:40:00 AM,0,103.521,17.766
11/28/2017,8:50:00 AM,0,103.538,17.766
11/28/2017,9:00:00 AM,0,103.554,17.766
11/28/2017,9:10:00 AM,0,103.555,17.766
11/28/2017,9:20:00 AM,0,103.599,17.766
11/28/2017,9:30:00 AM,0,103.634,17.766
11/28/2017,9:40:00 AM,0,103.651,17.766
11/28/2017,9:50:00 AM,0,103.637,17.766
11/28/2017,10:00:00 AM,0,103.633,17.766
11/28/2017,10:10:00 AM,0,103.643,17.766
11/28/2017,10:20:00 AM,0,103.662,17.766
11/28/2017,10:30:00 AM,0,103.671,17.766
11/28/2017,10:40:00 AM,0,103.679,17.766
