Serial_number:,,,,
2078247,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: kPa,,,,
Offset: 0.000000 kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
11/28/2017,12:00:00 AM,0,107.044,17.784
11/28/2017,12:10:00 AM,0,107.062,17.784
11/28/2017,12:20:00 AM,0,107.073,17.784
11/28/2017,12:30:00 AM,0,107.053,17.784
11/28/2017,12:40:00 AM,0,107.054,17.784
11/28/2017,12:50:00 AM,0,107.054,17.784
11/28/2017,1:00:00 AM,0,107.043,17.784
11/28/2017,1:10:00 AM,0,107.037,17.784
11/28/2017,1:20:00 AM,0,107.019,17.784
11/28/2017,1:30:00 AM,0,107.005,17.784
11/28/2017,1:40:00 AM,0,106.996,17.784
11/28/2017,1:50:00 AM,0,106.982,17.784
11/28/2017,2:00:00 AM,0,106.989,17.784
11/28/2017,2:10:00 AM,0,106.992,17.784
11/28/2017,2:20:00 AM,0,106.999,17.784
11/28/2017,2:30:00 AM,0,107.005,17.784
11/28/2017,2:40:00 AM,0,107.007,17.784
11/28/2017,2:50:00 AM,0,107.012,17.784
11/28/2017,3:00:00 AM,0,107.007,17.784
11/28/2017,3:10:00 AM,0,106.996,17.784
11/28/2017,3:20:00 AM,0,107.005,17.784
11/28/2017,3:30:00 AM,0,107.017,17.784
11/28/2017,3:40:00 AM,0,107.016,17.784
11/28/2017,3:50:00 AM,0,107.039,17.784
11/28/2017,4:00:00 AM,0,107.038,17.785
11/28/2017,4:10:00 AM,0,107.036,17.784
11/28/2017,4:20:00 AM,0,107.037,17.784
11/28/2017,4:30:00 AM,0,107.05,17.784
11/28/2017,4:40:00 AM,0,107.059,17.784
11/28/2017,4:50:00 AM,0,107.081,17.784
11/28/2017,5:00:00 AM,0,107.1,17.785
11/28/2017,5:10:00 AM,0,107.12,17.785
11/28/2017,5:20:00 AM,0,107.132,17.785
11/28/2017,5:30:00 AM,0,107.148,17.784
11/28/2017,5:40:00 AM,0,107.172,17.784
11/28/2017,5:50:00 AM,0,107.168,17.785
11/28/2017,6:00:00 AM,0,107.179,17.785
11/28/2017,6:10:00 AM,0,107.193,17.785
11/28/2017,6:20:00 AM,0,107.21,17.785
11/28/2017,6:30:00 AM,0,107.244,17.784
11/28/2017,6:40:00 AM,0,107.262,17.784
11/28/2017,6:50:00 AM,0,107.287,17.785
11/28/2017,7:00:00 AM,0,107.295,17.785
11/28/2017,7:10:00 AM,0,107.317,17.784
11/28/2017,7:20:00 AM,0,107.343,17.785
11/28/2017,7:30:00 AM,0,107.395,17.785
11/28/2017,7:40:00 AM,0,107.423,17.785
11/28/2017,7:50:00 AM,0,107.461,17.785
11/28/2017,8:00:00 AM,0,107.478,17.785
11/28/2017,8:10:00 AM,0,107.506,17.785
11/28/2017,8:20:00 AM,0,107.519,17.785
11/28/2017,8:30:00 AM,0,107.538,17.785
11/28/2017,8:40:00 AM,0,107.552,17.785
11/28/2017,8:50:00 AM,0,107.568,17.785
11/28/2017,9:00:00 AM,0,107.591,17.785
11/28/2017,9:10:00 AM,0,107.588,17.785
11/28/2017,9:20:00 AM,0,107.631,17.785
11/28/2017,9:30:00 AM,0,107.66,17.785
11/28/2017,9:40:00 AM,0,107.67,17.785
11/28/2017,9:50:00 AM,0,107.662,17.785
11/28/2017,10:00:00 AM,0,107.654,17.785
11/28/2017,10:10:00 AM,0,107.667,17.785
11/28/2017,10:20:00 AM,0,107.677,17.785
11/28/2017,10:30:00 AM,0,107.679,17.785
11/28/2017,10:40:00 AM,0,107.69,17.785
11/28/2017,10:50:00 AM,0,107.695,17.785
11/28/2017,11:00:00 AM,0,107.708,17.785
11/28/2017,11:10:00 AM,0,107.735,17.785
11/28/2017,11:20:00 AM,0,107.732,17.785
11/28/2017,11:30:00 AM,0,107.733,17.785
11/28/2017,11:40:00 AM,0,107.732,17.785
11/28/2017,11:50:00 AM,0,107.741,17.785
11/28/2017,12:00:00 PM,0,107.749,17.785
11/28/2017,12:10:00 PM,0,107.759,17.786
11/28/2017,12:20:00 PM,0,107.757,17.785
11/28/2017,12:30:00 PM,0,107.75,17.785
11/28/2017,12:40:00 PM,0,107.74,17.786
11/28/2017,12:50:00 PM,0,107.731,17.785
11/28/2017,1:00:00 PM,0,107.728,17.786
11/28/2017,1:10:00 PM,0,107.721,17.785
11/28/2017,1:20:00 PM,0,107.716,17.785
11/28/2017,1:30:00 PM,0,107.718,17.786
11/28/2017,1:40:00 PM,0,107.717,17.785
11/28/2017,1:50:00 PM,0,107.717,17.786
11/28/2017,2:00:00 PM,0,107.716,17.786
11/28/2017,2:10:00 PM,0,107.718,17.786
11/28/2017,2:20:00 PM,0,107.712,17.786
11/28/2017,2:30:00 PM,0,107.723,17.786
11/28/2017,2:40:00 PM,0,107.728,17.786
11/28/2017,2:50:00 PM,0,107.724,17.786
11/28/2017,3:00:00 PM,0,107.73,17.785
11/28/2017,3:10:00 PM,0,107.736,17.786
11/28/2017,3:20:00 PM,0,107.74,17.786
11/28/2017,3:30:00 PM,0,107.741,17.785
11/28/2017,3:40:00 PM,0,107.744,17.786
11/28/2017,3:50:00 PM,0,107.756,17.786
11/28/2017,4:00:00 PM,0,107.749,17.786
11/28/2017,4:10:00 PM,0,107.763,17.786
11/28/2017,4:20:00 PM,0,107.76,17.786
11/28/2017,4:30:00 PM,0,107.777,17.786
11/28/2017,4:40:00 PM,0,107.783,17.786
11/28/2017,4:50:00 PM,0,107.782,17.786
11/28/2017,5:00:00 PM,0,107.791,17.786
11/28/2017,5:10:00 PM,0,107.801,17.786
11/28/2017,5:20:00 PM,0,107.82,17.786
11/28/2017,5:30:00 PM,0,107.829,17.786
11/28/2017,5:40:00 PM,0,107.838,17.787
11/28/2017,5:50:00 PM,0,107.846,17.786
11/28/2017,6:00:00 PM,0,107.861,17.786
11/28/2017,6:10:00 PM,0,107.872,17.786
11/28/2017,6:20:00 PM,0,107.887,17.786
11/28/2017,6:30:00 PM,0,107.939,17.786
11/28/2017,6:40:00 PM,0,107.957,17.786
11/28/2017,6:50:00 PM,0,108.001,17.786
11/28/2017,7:00:00 PM,0,108.02,17.786
11/28/2017,7:10:00 PM,0,108.033,17.786
11/28/2017,7:20:00 PM,0,108.044,17.786
11/28/2017,7:30:00 PM,0,108.056,17.786
11/28/2017,7:40:00 PM,0,108.075,17.787
11/28/2017,7:50:00 PM,0,108.067,17.786
11/28/2017,8:00:00 PM,0,108.081,17.786
11/28/2017,8:10:00 PM,0,108.117,17.786
11/28/2017,8:20:00 PM,0,108.134,17.786
11/28/2017,8:30:00 PM,0,108.141,17.786
11/28/2017,8:40:00 PM,0,108.156,17.786
11/28/2017,8:50:00 PM,0,108.158,17.786
11/28/2017,9:00:00 PM,0,108.176,17.786
11/28/2017,9:10:00 PM,0,108.173,17.786
11/28/2017,9:20:00 PM,0,108.189,17.786
11/28/2017,9:30:00 PM,0,108.205,17.786
11/28/2017,9:40:00 PM,0,108.207,17.786
11/28/2017,9:50:00 PM,0,108.192,17.786
11/28/2017,10:00:00 PM,0,108.184,17.787
11/28/2017,10:10:00 PM,0,108.209,17.786
11/28/2017,10:20:00 PM,0,108.237,17.786
11/28/2017,10:30:00 PM,0,108.233,17.787
11/28/2017,10:40:00 PM,0,108.23,17.787
11/28/2017,10:50:00 PM,0,108.253,17.786
11/28/2017,11:00:00 PM,0,108.276,17.787
11/28/2017,11:10:00 PM,0,108.267,17.786
11/28/2017,11:20:00 PM,0,108.271,17.787
11/28/2017,11:30:00 PM,0,108.27,17.787
